company,location,title scraped for,Country,State,age,Position,upper_salary,lower_salary,payment_frequency,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
Accenture,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,,,,,10.0,,,SAP FI S/4HANA Accounting Business Analyst,"['Go', 'client', 'R', 'D', 'C']"
Société Générale,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,5.0,,undergraduate,Senior Analyst   Credit Risk,"['Industry knowledge', 'C', 'Go', 'R']"
ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,5.0,,undergraduate,Business Intelligence Engineer,"['performance metrics', 'ETL', 'R', 'D', 'C']"
BAXTER,"Ahmedabad, Gujarat",Data Analyst,India,Ahmedabad,,Senior Level,,,,85.0,,postgraduate,"Senior Specialist, Business Intelligence",['R']
TeamPlus Staffing Solution Pvt Ltd,"Baner, Pune, Maharashtra",Data Analyst,India,Baner,,,,,,2.0,,,Power BI,"['D', 'SQL', 'R']"
Thermo Fisher Scientific,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,7.0,,undergraduate,Senior Systems Analyst,['R']
Citi,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,3.0,,postgraduate,FRSS   Transfer Pricing   Senior Analyst,"['Go', 'Vi', 'R', 'MS Excel', 'D', 'MS Word', 'C', 'Excel']"
Thomson Reuters,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,160.0,,,Senior Vendor Cyber Risk Management Analyst,['R']
Luxoft,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,,,,,20.0,,postgraduate,BI Developer,"['D', 'C', 'R', 'client']"
Crisil,"Pune, Maharashtra",Data Analyst,India,Pune,,Senior Level,,,,8.0,,postgraduate,Lead Analyst:  Python Market Risk,[]
Entrata,"Pune, Maharashtra",Data Analyst,India,Pune,,Senior Level,,,,8.0,,postgraduate,Senior Business Intelligence Engineer,"['PowerBI', 'SQL', 'Python', 'R', 'Tableau', 'D', 'Excel']"
Thryve Digital,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,Senior Level,,,,7.0,,postgraduate,Senior Analyst   Business Analyst,"['C', 'client']"
TeamPlus Staffing Solution Pvt Ltd,"Baner, Pune, Maharashtra",Data Analyst,India,Baner,,,,,,7.0,,,BI  project,"['Go', 'SQL', '.NET', 'C#', 'R', 'D', 'C']"
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,200.0,,,CIB Payment Lifecycle Analyst Team Leader,"['client', 'api', 'R', 'D', 'C']"
Citi,"Bengaluru, Karnataka+1 location",Data Analyst,India,Bengaluru,,Senior Level,,,,5.0,,undergraduate,Lead Business Analyst,"['client', 'can-do attitude', 'ML', 'D', 'C', 'Excel']"
Greenwich Associates,"Pune, Maharashtra",Data Analyst,India,Pune,,Senior Level,,,,5.0,,postgraduate,Lead Analyst:  Python Market Risk,[]
Citi,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,,,,,8.0,,undergraduate,Production Operations Financial Risk Analyst   AVP,"['Go', 'client', 'Vi', 'D', 'C']"
Autoliv India,"Devanalli Fort, Karnataka",Data Analyst,India,Devanalli Fort,,Senior Level,,,,8.0,,,Senior Engineer   Power BI developer,"['D', 'SSI', 'R']"
Deets Digital,Remote,Data Analyst,India,Remote,,,1500000.0,800000.0,Yearly,,,,Data Analyst,['R']
Credence Resource Management,"Pune, Maharashtra",Data Analyst,India,Pune,,,500000.0,200000.0,Yearly,2.0,Full-time,postgraduate,Data Analyst,"['SQL', 'R', 'MS Excel', 'C', 'Excel']"
Deets Digital,Remote,Data Analyst,India,Remote,,Senior Level,2000000.0,1500000.0,Yearly,,,,Senior Data Analyst,['R']
Constrique Software & Digital Solutions Pvt Ltd,"Nirman Vihar, Delhi, Delhi",Data Analyst,India,Nirman Vihar,,,20000.0,15000.0,Monthly,1.0,Full-time,,Data Analyst,['R']
Sahaj Retail Limited,"Tangra, Kolkata, West Bengal",Data Analyst,India,Tangra,,,1200000.0,800000.0,Yearly,8.0,,,Data Analyst,"['Tableau', 'SQL', 'Python', 'R']"
Top Talent Techonologies Pvt Ltd,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,1600000.0,600000.0,Yearly,5.0,Full-time,undergraduate,Business Analyst,"['C', 'BA', 'Excel', 'R']"
DAYS Group Of Companies,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,,,3000000.0,Yearly,,Full-time,,Offshore Consultant Data Science & Analytics,[]
DAYS Group Of Companies,"Remote in Chennai, Tamil Nadu",Data Analyst,India,Remote in Chennai,,Senior Level,3500000.0,2000000.0,Yearly,,Full-time,postgraduate,Data Analytics Consultant   Adobe Target,['R']
JobFlip,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,1100000.0,800000.0,Yearly,,Full-time,undergraduate,Quant Analyst,"['Statistics', 'BA', 'Python', 'R']"
Hindustan HR Solutions,"Nagercoil, Tamil Nadu",Data Analyst,India,Nagercoil,,,8000.0,7000.0,Monthly,,,,Data Analyst,['R']
Wipro Limited,"Bengaluru, Karnataka+4 locations",Data Analyst,India,Bengaluru,,,,,,,,postgraduate,Business Analyst,"['Go', 'client', 'BA', 'Documentation', 'R', 'D', 'C', 'Excel']"
Law In Order,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,1.0,Full-time,hs,eDiscovery Analyst,"['Go', 'Flexible', 'R', 'D', 'C']"
Proficientnow,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,300000.0,Yearly,,Full-time,,Research Analyst Staffing,['R']
Sakon,"Pune, Maharashtra",Data Analyst,India,Pune,,,400000.0,300000.0,Yearly,,Full-time,,Analyst  Inventory Management,['R']
Touchstone Tie-Up Pvt Ltd – Kolkata,"Kolkata, West Bengal",Data Analyst,India,Kolkata,,,,500000.0,Yearly,4.0,,undergraduate,Data Science and Business Analytics,"['client', 'Perl', 'Flexible', 'SQL', 'Python', 'ML', 'R', 'D', 'C']"
sharechat,"Temporarily Remote in Bengaluru, Karnataka",Data Analyst,India,Temporarily Remote in Bengaluru,,,,,,4.0,,undergraduate,Product Analyst,['R']
Marketlook Consulting,"Remote in Delhi, Delhi+1 location",Data Analyst,India,Remote in Delhi,,,,,,1.0,Full-time,undergraduate,Market Research Analyst Intern,"['client', 'Market Research', 'R', 'D', 'C']"
Escalent,"Noida, Uttar Pradesh",Data Analyst,India,Noida,,,,,,,,postgraduate,APM/PM,['R']
kasmo Technologies pvt ltd.,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,8.0,Full-time,undergraduate,Salesforce Business Analyst,['R']
Makeen Technologies,"Remote in Hyderabad, Telangana",Data Analyst,India,Remote in Hyderabad,,,,,,3.0,,undergraduate,Business Intelligence Engineer I REMOTE,"['Flexible', 'Vi', 'A/B testing', 'SQL', 'Python', 'AWS', 'ML', 'MS Excel', 'R', 'D', 'Statistics', 'C', 'Excel']"
CRED,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,3.0,,,data science analyst,"['HDFS', 'SQL', 'Python', 'AWS', 'R', 'D', 'C']"
DXC Technology,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,,,undergraduate,Associate Professional Data Analyst,['C']
Accenture,"Bengaluru, Karnataka+1 location",Data Analyst,India,Bengaluru,,,,,,5.0,,postgraduate,Analyst Data Maintenance,"['C', 'client', 'Vi']"
Reckitt,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,Senior Level,,,,5.0,,,Senior Business Analyst  Data Analytics,[]
NatWest Group,"Delhi, Delhi+2 locations",Data Analyst,India,Delhi,,,,,,5.0,,,Data & Analytics Analyst,['R']
Kroll,"Hyderabad, Telangana+1 location",Data Analyst,India,Hyderabad,,,,,,2.0,,undergraduate,"Analyst I, Global Financial Data Operations","['Go', 'client', 'BA', 'api', 'R', 'D', 'C', 'Excel']"
Capgemini,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,2.0,,postgraduate,Environment Sustainability Data Analyst,['R']
Maersk,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,5.0,,postgraduate,Research Analyst,"['client', 'PowerBI', 'BA', 'R', 'Tableau', 'D', 'C']"
IFPRI (International Food Policy Research...,"New Delhi, Delhi",Data Analyst,India,New Delhi,,,,,,,Full-time,undergraduate,Research Analyst I/II,"['D', 'Statistics', 'Excel', 'R']"
Novartis,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,8.0,,undergraduate,Principal RWE Scientific Data Analyst,"['MySQL', 'asp', 'SQL', 'Hive', 'R', 'Spark', 'D', 'SAS', 'C', 'Excel', 'Hadoop', 'creative thinking']"
Worley,"Navi Mumbai, Maharashtra",Data Analyst,India,Navi Mumbai,,Senior Level,,,,8.0,,,Data analytics & Reporting analyst,['R']
Vodafone,"Pune, Maharashtra",Data Analyst,India,Pune,,,,,,8.0,,,Support Analyst,"['Scala', 'Vi', 'Python', 'Machine Learning', 'R', 'D', 'C', 'Java']"
FactSet Research Systems,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,2.0,,,Risk Analyst,"['D', 'C', 'R', 'client']"
Cardinal Health,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,2.0,,postgraduate,"Analyst, Master Data","['D', 'C']"
Accenture,"Mumbai, Maharashtra+1 location",Data Analyst,India,Mumbai,,,,,,5.0,,,Analyst Digital Marketing,"['Marketing', 'client', 'Vi', 'ML', 'Project Management', 'D', 'C', 'Creative', 'Javascript', 'HTML', 'Java']"
Shell,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,,,,,2.0,,,Reporting Analyst,"['D', 'C', 'Go', 'R']"
McAfee,"Remote in Bengaluru, Karnataka",Data Analyst,India,Remote in Bengaluru,,Senior Level,,,,7.0,,,Lead Data Analyst,"['SQL', 'R', 'Tableau', 'D', 'C']"
GlobalLogic,"Remote in Gurgaon, Haryana",Data Analyst,India,Remote in Gurgaon,,,,,,1.0,,postgraduate,"Associate Analyst, Content Engineering","['Go', 'D', 'C', 'Excel', 'Creative']"
Lowe's,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,1.0,,,Analyst   OBS,['R']
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,200.0,,postgraduate,Indirect Tax   Analyst,['R']
ASSPL - Karnataka,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,200.0,,undergraduate,Business Analyst,"['VBA', 'BA']"
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,200.0,,postgraduate,CIB Digital Document Services  Client Data Analyst,"['D', 'C', 'client']"
PhonePe,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,3.0,,undergraduate,Data Analytics,"['PowerBI', 'BA', 'Python', 'SQL', 'R', 'D', 'Statistics', 'C', 'Excel']"
Citi,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,3.0,,postgraduate,Finance Reporting Analyst,"['D', 'C', 'Excel', 'MS Excel']"
ServiceNow,"Temporarily Remote in Hyderabad, Telangana",Data Analyst,India,Temporarily Remote in Hyderabad,,,,,,5.0,,undergraduate,AI Data Operations Specialist,"['Go', 'Flexible', 'Vi', 'Machine Learning', 'R', 'D', 'C', 'Excel']"
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,200.0,,,CIB Digital Document Services  Reference Data Analyst,['R']
CarDekho,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,,,,,3.0,,postgraduate,Business Analyst,[]
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,200.0,,,"Data Engineering, Analysis & Reporting","['Go', 'client', 'Tableau', 'D', 'C', 'Java']"
Datametrics Software Systems,"Vijayawada, Andhra Pradesh",Data Analyst,India,Vijayawada,,,,,,5.0,,postgraduate,Business Systems/Data Analyst,"['D', 'C', 'R']"
Wells Fargo,"Bengaluru, Karnataka+1 location",Data Analyst,India,Bengaluru,,,,,,5.0,,postgraduate,Data Management Analyst,"['Go', 'MS Office', 'Vi', 'Stakeholder Management', 'BA', 'SQL', 'Tableau', 'Ownership', 'Hive', 'Data Visualization', 'Project Management', 'R', 'D', 'Spark', 'C', 'Hadoop']"
Standard Chartered,"Bengaluru, Karnataka+1 location",Data Analyst,India,Bengaluru,,,,,,160.0,,postgraduate,Business Analyst,"['Go', 'client', 'BA', 'R', 'D', 'C']"
Citi,"Pune, Maharashtra+1 location",Data Analyst,India,Pune,,,,,,5.0,,undergraduate,Apps Support Intmd Analyst,"['Go', 'client', 'Vi', 'D', 'C']"
Amex,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,,,,,2.0,,postgraduate,Financial Analyst I,['R']
Recruise India Consulting Pvt Ltd,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,2.0,,,1700 Clinical Statistical Analyst,['R']
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,,,,AWM WM Reference Data Analyst Team Leader,"['PowerPoint', 'Advanced Excel', 'Go', 'client', 'Ada', 'BA', 'Interpersonal Skills', 'R', 'D', 'C', 'Excel']"
Ness Technologies,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,20.0,,,QA Analyst,"['HDFS', 'ETL', 'SQL', 'R', 'D']"
Barclays,"Delhi, Delhi",Data Analyst,India,Delhi,,,,,,20.0,,postgraduate,BCUS Risk Based Quality Analyst,"['client', 'Vi', 'R', 'D', 'C', 'Excel']"
HSBC,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,20.0,,hs,"AVP, Business Analyst","['http', 'Go', 'asp', 'Leadership', 'R', 'D', 'C']"
McKinsey & Company,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,,,,,20.0,,postgraduate,Junior Capabilities and Insights Analyst   People and Organi...,"['PowerPoint', 'Advanced Excel', 'Go', 'BA', 'D', 'Excel']"
Morgan Stanley,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,Senior Level,,,,3.0,,postgraduate,Analyst/Associate    LCD Operations,"['D', 'Excel', 'R', 'MS Office']"
Johnson & Johnson,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,2.0,,postgraduate,Complaint Vigilance Analyst I,"['asp', 'R', 'D', 'C', 'Excel']"
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra+2 locations",Data Analyst,India,Mumbai,,,,,,200.0,,undergraduate,CIB Reference Data Analyst  Team leader,"['PowerPoint', 'client', 'R', 'D', 'C', 'Excel']"
McKinsey & Company,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,,,,,1.0,,postgraduate,Solution Delivery Analyst,"['MySQL', 'PowerPoint', 'Simula', 'SQL', 'Optimization', 'R', 'D', 'SAS', 'C', 'Excel']"
Kerry,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,1.0,,postgraduate,Business Analyst,"['PowerPoint', 'Go', 'Vi', 'D', 'C', 'Excel']"
Deliveroo,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,5.0,,,Analytics Engineer   Data Engineer,['R']
BT,"Kolkata, West Bengal",Data Analyst,India,Kolkata,,,,,,180.0,,undergraduate,Business Assurance Analyst,['R']
Accenture,"Gurgaon, Haryana+2 locations",Data Analyst,India,Gurgaon,,,,,,5.0,,,Analyst Procure to Pay Processing,"['C', 'client', 'Vi']"
Ness Technologies,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,20.0,,,Business Analyst,"['Go', 'client', 'UX', 'R', 'D', 'C', 'Critical Thinking', 'Java']"
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,3.0,,postgraduate,Business Analyst   CSS MIS,"['PL/SQL', 'client', 'ETL', 'SSI', 'SQL', 'Python', 'Data Analysis', 'R', 'Tableau', 'D', 'PostgreSQL', 'C', 'SAS']"
Shell,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,4.0,,,Associate Business Analyst,"['Go', 'BA', 'R', 'D', 'C']"
GE Aviation,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,10.0,,undergraduate,Staff Data Engineer   Flight data and analytics team,"['MySQL', 'Leadership', 'SQL', 'Python', 'AWS', 'Hive', 'R', 'Spark', 'D', 'PostgreSQL', 'C', 'Excel', 'Hadoop', 'Java']"
NetApp,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,8.0,,,Senior Business Analyst,"['C', 'asp']"
NatWest Group,"Bengaluru, Karnataka+1 location",Data Analyst,India,Bengaluru,,,,,,8.0,,,"Business Analyst, AVP","['ETL', 'SQL', 'BA', 'R', 'C']"
Synchrony Financial,"Remote in Hyderabad, Telangana",Data Analyst,India,Remote in Hyderabad,,,,,,2.0,,postgraduate,Marketing Supplier Management Analyst,"['Flexible', 'R', 'Tableau', 'D', 'C', 'Marketing']"
Novozymes,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,5.0,,postgraduate,BUSINESS FINANCE ANALYST,"['D', 'R']"
MasterCard,"Hybrid remote in Pune, Maharashtra",Data Analyst,India,Hybrid remote in Pune,,Senior Level,,,,5.0,,undergraduate,"Senior Analyst, Finance Business Partner","['D', 'C']"
EATON,"Pune, Maharashtra",Data Analyst,India,Pune,,Senior Level,,,,8.0,,postgraduate,Senior Analyst OTC,"['Integrity and Trust', 'Organizational', 'BA', 'R', 'D', 'C', 'Excel']"
TE Connectivity,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,8.0,,postgraduate,Data Reporting Analyst,"['C', 'R']"
JRD Systems,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,7.0,,undergraduate,Business Analyst,"['Vi', 'ETL', 'SQL', 'MS Access', 'Data Analysis', 'Data Visualization', 'R', 'D', 'C', 'Excel', 'Hadoop']"
Luxoft,Remote,Data Analyst,India,Remote,,,,,,5.0,,,Murex Back Office Business Analyst,"['Go', 'api', 'R', 'D', 'C', 'Excel']"
Citi,"Pune, Maharashtra",Data Analyst,India,Pune,,,,,,15.0,,postgraduate,IT Business Lead Analyst,"['PowerPoint', 'MS Office', 'Vi', 'R', 'D', 'C', 'Excel']"
Capgemini,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,15.0,,,Third Party Risk Analyst,"['Organizational', 'Go', 'client', 'R', 'C']"
FIS Global,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,,,,,4.0,,undergraduate,ImplementationConversion Analyst,"['D', 'C', 'Go', 'Project Management']"
AISPL - Karnataka,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,5.0,,undergraduate,Data Analytics Manager,['R']
S&P Global,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,4.0,,undergraduate,Competitive Insights Analyst,"['D', 'C', 'Marketing', 'R']"
Franklin Templeton Investments,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,Senior Level,,,,70.0,,postgraduate,Senior Business Analyst   MOG,"['PowerPoint', 'Go', 'Vi', 'Python', 'R', 'D', 'C', 'Excel']"
ADCI - Karnataka,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,5.0,,undergraduate,"Business Analyst, AST Analytics",['R']
Pinkerton,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,170.0,,,Product Security Analyst,['R']
Deloitte,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,Senior Level,,,,5.0,,postgraduate,GPS   Senior Analyst  Web Publisher UX/UI,['R']
Colt Technology Services,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,Senior Level,,,,6.0,,,Lead Analyst   Pricing,"['Leadership', 'BA', 'Ownership', 'VBA', 'D', 'C', 'Excel']"
,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,Senior Level,,,,,,undergraduate,Senior Compensation and Benefits Analyst   Delhi / Gurgaon b...,['R']
Genpact,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,,,,,,,postgraduate,Business Analyst   Actuarial,"['BA', 'SQL', 'MS Access', 'VBA', 'MS Excel', 'D', 'C', 'Excel']"
IQVIA,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,,,undergraduate,Business Analyst/Product Owner,"['http', 'client', 'R', 'D', 'C']"
Genpact,"Kolkata, West Bengal",Data Analyst,India,Kolkata,,,,,,,,postgraduate,DG   Business Analyst   Commercial Excellence Admin Support,"['Advanced Excel', 'Go', 'Tableau', 'D', 'Statistics', 'C', 'Excel']"
Commonwealth Bank,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,4.0,,,Senior Analyst   Group Supplier Risk & Advisory,['R']
Standard Chartered,"Bengaluru, Karnataka+1 location",Data Analyst,India,Bengaluru,,Senior Level,,,,160.0,,postgraduate,Senior Business Analyst,"['D', 'R']"
Mr. Cooper,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,,,,,160.0,,,Principal Data Analyst I,['R']
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,4.0,,undergraduate,Risk   Corporate Sector   Market Risk Controllers   Analyst,['R']
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,200.0,,,Business Analyst   Associate,"['client', 'api', 'Tracking', 'R', 'D', 'C', 'UI', 'Scala']"
Barclays,"Pune, Maharashtra",Data Analyst,India,Pune,,,,,,200.0,,,Reg Reporting Analyst,"['client', 'Vi', 'R', 'D', 'C', 'Excel']"
Orcapod,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,2000000.0,1000000.0,Yearly,200.0,,,Business Analyst,['R']
Citi,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,8.0,,undergraduate,Institutional Credit Management,"['PowerPoint', 'client', 'Vi', 'api', 'Python', 'Tracking', 'R', 'Tableau', 'D', 'C', 'Excel']"
Lowe's,"Remote in Bengaluru, Karnataka",Data Analyst,India,Remote in Bengaluru,,,,,,8.0,,,Associate Analyst   OBS,['R']
Genpact,"Kolkata, West Bengal+2 locations",Data Analyst,India,Kolkata,,,,,,8.0,,postgraduate,DG   Business Analyst   Pricing Analytics,"['PowerPoint', 'Advanced Excel', 'Go', 'Spotfire', 'MS Office', 'BA', 'Regression', 'VBA', 'R', 'Tableau', 'D', 'Statistics', 'C', 'Excel']"
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,200.0,,postgraduate,Model Validation Analyst   Climate Risk Assessment,"['Go', 'client', 'Python', 'R', 'C', 'Excel']"
Fidelity International,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,,,,,6.0,,,Analyst Programmer,"['D', 'C', 'R']"
NTT DATA,"Pune, Maharashtra",Data Analyst,India,Pune,,,,,,6.0,,postgraduate,Business Analyst   Lending,"['SDLC', 'client', 'Vi', 'api', 'R', 'D', 'C']"
AWS ProServe IN - Telangana,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,8.0,,undergraduate,"Business Operations Analyst, Global Competency Center   Indi...",['R']
Citi,"Chennai, Tamil Nadu",Data Analyst,India,Chennai,,,,,,5.0,,undergraduate,CBORC  Digital Monitoring Senior Analyst,"['SAS', 'SPSS', 'Python', 'R']"
Fidelity International,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,Senior Level,,,,8.0,,postgraduate,Lead Technical Business Analyst,"['Go', 'BA', 'SQL', 'Initiative', 'VBA', 'Tableau', 'D', 'C', 'Excel']"
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,Mid-Level,,,,6.0,,,Asset Management   Municipal Research Support Associate/ Ana...,['R']
Infogain,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,4.0,,postgraduate,"Consultant, Business Analyst",['R']
TE Connectivity,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,,,,,4.0,,postgraduate,SUPPLY CHAIN ANALYST I,['R']
LexisNexis,India,Data Analyst,India,India,,Senior Level,,,,5.0,,undergraduate,Senior Business Analyst,"['BA', 'ML', 'R', 'D', 'C']"
Shell,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,7.0,,postgraduate,Senior Analyst   MICOE,['R']
Kyndryl Solutions Private Limited,"Gurgaon, Haryana+1 location",Data Analyst,India,Gurgaon,,,,,,,,undergraduate,Asset Management Analyst   Hardware,"['Supply Chain', 'C', 'R']"
Astound Commerce,"Ahmedabad, Gujarat",Data Analyst,India,Ahmedabad,,,,,,20.0,,,Business Analyst,"['Go', 'SDLC', 'Vi', 'BA', 'UX', 'R', 'D', 'C', 'UI', 'Presentation']"
opentext,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,12.0,,undergraduate,Lead Business Systems Analyst,['R']
Women Entrepreneur Network,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,4500000.0,2100000.0,Yearly,5.0,,,Digital Marketing Project Manager,"['C', 'Excel', 'R', 'Creative']"
Adenza,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,5.0,,undergraduate,"Business Analyst, Capital Markets","['Go', 'client', 'asp', 'R', 'D', 'C', 'Java']"
Diebold Nixdorf,"Hyderabad, Telangana",Data Analyst,India,Hyderabad,,,,,,8.0,,undergraduate,Applications Programming Analyst,"['D', 'C', 'SQL', 'R']"
RELX,India,Data Analyst,India,India,,Senior Level,,,,5.0,,undergraduate,Senior Business Analyst,"['BA', 'ML', 'R', 'D', 'C']"
"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Mid-Level,,,,5.0,,undergraduate,CIB Data Analyst CPCS Testing Analyst Team Leader,"['C', 'client']"
Citi,"Pune, Maharashtra",Data Analyst,India,Pune,,Senior Level,,,,11.0,,postgraduate,IT Business Senior Analyst   Liquidity & Collateral Management,"['Go', 'Vi', 'BA', 'SQL', 'R', 'D', 'C']"
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,200.0,,postgraduate,Quantitative Research   EDG Strats and Infra   Associate,"['Python', 'D', 'C', 'C++', 'Java']"
Open Text Corporation,"Bengaluru, Karnataka",Data Analyst,India,Bengaluru,,Senior Level,,,,12.0,,undergraduate,Lead Business Systems Analyst,"['Vi', 'Supply Chain', 'R', 'D', 'C', 'Excel']"
LexisNexis,India,Data Analyst,India,India,,Senior Level,,,,12.0,,undergraduate,Senior Consulting / Principal Business Analyst,"['client', 'BA', 'ML', 'R', 'C', 'Excel']"
"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,5.0,,,Asset Management   Quant Research Support Associate,['R']
Fidelity International,"Gurgaon, Haryana",Data Analyst,India,Gurgaon,,Senior Level,,,,2.0,,,Senior Analyst Programmer,"['Flexible', 'SQL', 'Python', 'D', 'C', 'Excel']"
Citi,"Mumbai, Maharashtra",Data Analyst,India,Mumbai,,,,,,,,postgraduate,Enterprise Reporting Business Analyst,"['MS Office', 'Vi', 'BA', 'Python', 'SQL', 'VBA', 'R', 'Tableau', 'PowerPoint', 'SAS', 'C', 'C++', 'Excel', 'Java']"
