company,location,title scraped for,Country,State,age,Position,upper_salary,lower_salary,payment_frequency,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
ByteWorks,Lagos+1 location,Web Developer,Nigeria,Lagos+1 location,,Senior Level,,,,3.0,,undergraduate,Senior Java Developer,"['Go', 'CSS', 'Excel', 'SDLC', 'asp', 'SQL', 'Git', 'ML', 'R', 'D', 'C', 'Docker', 'NoSQL', 'HTML', 'Java']"
Personnel Homes,Lagos,Web Developer,Nigeria,Lagos,,,,,,,Full-time,undergraduate,Blockchain Developer,"['D', 'C', 'C++']"
Prometeo Talent,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,,,Fullstack Developer,"['D', 'C']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,,postgraduate,.Net Core Developer,"['Vi', 'SQL', '.NET', 'js', 'C#', 'R', 'C', 'Excel', 'Java']"
Waje Smart Solutions,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,Full-time,,Full Stack Developer,"['D', 'client', 'R', 'Django']"
Institute of Credit Administration,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,Full-time,,Web / Database Management Assistant,"['Go', '.net', 'R', 'D', 'C']"
Dynamic People Consulting,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,Full-time,,Developer / Senior Developer,"['http', 'Go', 'client', 'Mercurial', 'DOM', 'JSON', 'Git', 'js', 'R', 'server', 'D', 'C', 'Javascript', 'Java']"
Yoodule,Uyo,Web Developer,Nigeria,Uyo,,,,,,4.0,Contract,,Shopify Developer,"['D', 'C', 'server']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,1.0,,undergraduate,Website Developer,"['CSS', 'Python', 'ML', 'R', 'C', 'HTML', 'Java']"
,Abuja,Web Developer,Nigeria,Abuja,,,,,,4.0,,,Frontend Developer,"['jQuery', 'Go', 'CSS', 'ML', 'SEO', 'server', 'C', 'Excel', 'HTML', 'Java']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,,undergraduate,Web Developer,"['jQuery', 'CSS', 'DOM', 'JSON', 'PHP', 'ML', 'D', 'C', 'UI', 'HTML', 'Java']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,,postgraduate,Software Developer,"['MySQL', 'Go', 'SQL', '.net', 'C#', 'ML', 'R', 'Software development', 'D', 'C', 'UI', 'HTML', 'Java']"
,Nigeria,Web Developer,Nigeria,Nigeria,,,,,,3.0,,,Software Developer,"['C', 'Excel', 'Laravel', 'R']"
,Nigeria+1 location,Web Developer,Nigeria,Nigeria+1 location,,,,,,3.0,,,Full Stack Developer,"['Go', 'client', 'asp', 'js', 'R', 'D', 'C']"
,Abuja,Web Developer,Nigeria,Abuja,,,,,,3.0,,,Full Stack Lavarel Developer,"['Laravel', 'CSS', 'Git', 'PHP', 'ML', 'R', 'C', 'HTML']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,,,Frontend/Mobile App Developer,"['CSS', 'Git', 'js', 'ML', 'R', 'D', 'C', 'Javascript', 'HTML', 'Java']"
InstaFxNg,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,,undergraduate,Software Developer,"['MySQL', 'CSS', 'SQL', 'PHP', 'ML', 'D', 'C', 'HTML', 'Java']"
Innkeeper,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,Full-time,undergraduate,Full Stack Developer,"['MySQL', 'CSS', 'Node.js', 'SQL', 'Python', 'js', 'ML', 'R', 'MongoDB', 'D', 'server', 'C', 'Excel', 'HTML', 'Java']"
,Abuja,Web Developer,Nigeria,Abuja,,Senior Level,,,,5.0,,,Senior Software Developer,"['MySQL', 'Laravel', 'Databases', 'DevOps', 'SQL', '.NET', 'Git', 'AWS', 'PHP', 'R', 'MongoDB', 'D', 'C', 'Docker', 'Java']"
,Abuja,Web Developer,Nigeria,Abuja,,Mid-Level,,,,5.0,,,Backend Developer   Abuja,"['asp', 'Mercurial', 'DevOps', 'SQL', 'Git', 'R', 'D', 'C', 'Presentation']"
BlackJoe Technologies,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,Full-time,,Mobile App Developer,"['CSS', 'Python', 'PHP', 'ML', 'D', 'C', 'Excel', 'HTML', 'Java']"
,Abuja,Web Developer,Nigeria,Abuja,,,,,,2.0,,,UI/UX Designer,"['D', 'C', 'UX', 'UI']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,1.0,,undergraduate,Content Developer,"['Go', 'Excel', 'SEO']"
,Lagos+1 location,Web Developer,Nigeria,Lagos+1 location,,,,,,4.0,,undergraduate,DevOps Engineer,"['Go', 'SDLC', 'Vi', 'DevOps', 'Python', 'SQL', 'Git', 'AWS', 'C#', 'R', 'server', 'MongoDB', 'D', 'C', 'Docker', 'Java']"
Libmot Logistics Limited,Lagos,Web Developer,Nigeria,Lagos,,,,,,8.0,,undergraduate,Software Developer,"['Go', 'client', '.NET', 'C#', 'R', 'D', 'C', 'Javascript', 'Java']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,,,Media Developer,['Excel']
,Lagos,Web Developer,Nigeria,Lagos,,Mid-Level,,,,5.0,,undergraduate,Head of Engineering,"['performance metrics', 'Go', 'Node.js', 'Python', 'PHP', 'js', 'R', 'D', 'C', 'Java']"
ConSol Limited,Lagos,Web Developer,Nigeria,Lagos,,,,,,,Full-time,postgraduate,Software Engineer,"['CSS', 'client', 'SQL', 'Python', 'UX', '.NET', 'PHP', 'angular', 'C#', 'ML', 'R', 'D', 'C', 'C++', 'HTML', 'Java']"
Nigerian Exchange Group (NGX Group),Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,,undergraduate,Application Support Specialist Recruitment,"['CSS', 'SQL', 'api', '.NET', 'C#', 'ML', 'R', 'D', 'C', 'ADO.NET', 'HTML', 'Java']"
,Nigeria,Web Developer,Nigeria,Nigeria,,,,,,3.0,,,Technical Product Manager,"['C', 'Excel', 'asp']"
Strategic Outsourcing Limited,Lagos,Web Developer,Nigeria,Lagos,,,,,,5.0,Full-time,undergraduate,Database Developer,"['Organizational', 'BA', 'R', 'server', 'Excel', 'Hadoop', 'Object-Oriented Programming', 'api', 'UX', 'PostgreSQL', 'UI', 'CSS', 'SQL', '.NET', 'ML', 'Tableau', 'Statistics', 'Creative', 'Java', 'C#', 'D', 'C', 'HTML']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,1.0,,,Digital Marketer,"['Google Analytics', 'Go', 'CSS', 'ML', 'C', 'HTML', 'Java']"
Black Pen Recruitment,Lagos,Web Developer,Nigeria,Lagos,,,,,,5.0,Full-time,postgraduate,Developer Relations Advocate Manager,"['D', 'Excel', 'R']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,,,Technical Product Specialist,"['CSS', 'Node.js', 'Python', 'PHP', 'js', 'C#', 'ML', 'R', 'C', 'Excel', 'HTML', 'Java']"
,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,,undergraduate,Marketing Executive,"['C', 'Go', 'R']"
Recore Limited,Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,Full-time,,FRONTEND DEVELOPER,"['C', 'R']"
Baaraku Recruitment,Lagos,Web Developer,Nigeria,Lagos,,,,800000.0,Monthly,3.0,Full-time,undergraduate,Full Stack Developer,"['D', 'C', 'R', 'Java']"
Software Business Solutions Consulting,Lagos,Web Developer,Nigeria,Lagos,,,300000.0,250000.0,Monthly,3.0,,,.NET DEVELOPER,"['client', 'SQL', '.NET', 'C#', 'R', 'D', 'C', 'Excel']"
Software business solutions consulting,Lagos,Web Developer,Nigeria,Lagos,,,,,,,Full-time,undergraduate,NodeJs Developer,"['CSS', 'Node.js', 'js', 'ML', 'R', 'D', 'C', 'HTML', 'Java']"
Nitax Technologies Limited,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,,Full-time,,Senior Frontend Developer,"['D', 'C']"
GVA Partners,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,Full-time,undergraduate,APPLICATION/SOFTWARE DEVELOPER,"['MySQL', 'R', 'server', 'Object-Oriented Programming', 'client', 'UX', 'UI', 'CSS', 'Django', 'SOAP', 'SQL', 'ML', 'Java', 'Go', 'asp', 'Python', 'PHP', 'D', 'C', 'HTML']"
Findworka Recruitment Services,Lagos,Web Developer,Nigeria,Lagos,,,,,,2.0,Full-time,undergraduate,Full Stack Developer,['R']
React Africa,Ibadan,Web Developer,Nigeria,Ibadan,,,,150000.0,Monthly,5.0,Full-time,,PHP Developer,"['Laravel', 'CSS', 'SQL', 'PHP', 'ML', 'R', 'D', 'SAS', 'C', 'Javascript', 'HTML', 'Java']"
Nitax Technologies Limited,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,5.0,Full-time,,Senior Backend Developer,"['D', 'C', 'server', 'UI']"
Findworka Recruitment Services,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,3.0,Full-time,undergraduate,Flutter Developer,"['Go', 'Git', 'R', 'D', 'C', 'Excel']"
Parkway,Yaba,Web Developer,Nigeria,Yaba,,,400000.0,300000.0,Monthly,2.0,,,Ionic Mobile Developer,"['Go', 'CSS', 'Vi', 'Git', 'ML', 'R', 'D', 'C', 'HTML', 'Java']"
React Africa,Ibadan,Web Developer,Nigeria,Ibadan,,,,150000.0,Monthly,2.0,Full-time,,Mobile Engineer,"['D', 'Go', 'R', 'Java']"
Tek Experts,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,4.0,,undergraduate,Senior .NET Developer,"['client', 'asp', 'SQL', 'UX', '.NET', 'R', 'server', 'D', 'C', 'Excel']"
Tek Experts,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,,undergraduate,Front End  Developer,"['CSS', 'client', 'UI', 'UX', 'js', 'ML', 'R', 'D', 'C', 'Excel', 'HTML', 'Java']"
Tek Experts,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,,undergraduate,Front End  Developer,"['client', 'UX', 'js', 'R', 'D', 'C', 'Excel', 'UI']"
Tek Experts,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,4.0,,undergraduate,Senior Java Developer,"['client', 'JSON', 'SOAP', 'SQL', 'UX', 'XML', 'ML', 'R', 'D', 'C', 'Excel', 'Java']"
Spearhead Software Solutions Limited,Lagos,Web Developer,Nigeria,Lagos,,,200000.0,150000.0,Monthly,2.0,,undergraduate,Angular Developer,"['CSS', 'angular', 'ML', 'R', 'D', 'C', 'Excel', 'HTML', 'Java']"
Software business solutions consulting,Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,Full-time,undergraduate,Angular Developer,"['CSS', 'angular', 'ML', 'R', 'D', 'C', 'Excel', 'HTML', 'Java']"
Anyjob Limited,Lagos,Web Developer,Nigeria,Lagos,,,,200000.0,Monthly,2.0,,undergraduate,Software Marketer,"['Marketing', 'BA', 'R']"
Okra,Lagos,Web Developer,Nigeria,Lagos,,,,,,3.0,,,Documentations Lead,"['D', 'XML', 'ML', 'HTML']"
Tek Experts,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,,undergraduate,.NET Developer,"['client', 'asp', 'SQL', 'UX', '.NET', 'R', 'D', 'C', 'Excel']"
Yoodule,Uyo,Web Developer,Nigeria,Uyo,,,,150000.0,Monthly,4.0,Full-time,,Flutter Developer,"['http', 'R', 'server', 'D', 'C']"
Tek Experts,Lagos,Web Developer,Nigeria,Lagos,,,,,,4.0,,undergraduate,Java Developer,"['client', 'JSON', 'SOAP', 'SQL', 'XML', 'ML', 'R', 'D', 'C', 'Excel', 'Java']"
Tek Experts,Lagos,Web Developer,Nigeria,Lagos,,Senior Level,,,,4.0,,undergraduate,Senior Front End  Developer,"['client', 'UX', 'js', 'R', 'D', 'C', 'Excel', 'UI']"
