Unnamed: 0,id,company,location,postDate,title scraped for,Country,upper_salary,lower_salary,payment_frequency,State,age,Position,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
2660,job_0f499f49e5d4e38b,NatWest Group,"Gurgaon, Haryana+1 location",Posted 11 days ago,Business Analyst,India,,,,Gurgaon,,Senior Level,,,,Risk Reporting Analyst,['R']
2661,job_03d601feebf74fa2,Netcracker Technology,"Bengaluru, Karnataka",Posted 9 days ago,Business Analyst,India,,,,Bengaluru,,,25.0,,,Business Analyst  Online Charging System Implementation,"['D', 'C', 'R']"
2662,job_e73a5424ab397162,Futurism,"Pune, Maharashtra",Posted 8 days ago,Business Analyst,India,,,,Pune,,,3.0,,,Marketing Analyst   Prospecting,['R']
2663,job_3e30a24ab9f3217d,Genpact,"Bengaluru, Karnataka",Posted 7 days ago,Business Analyst,India,,,,Bengaluru,,,,,postgraduate,DG   Business Analyst   Tactical Buyer,"['D', 'C', 'Excel']"
2664,job_ef1dce7dca53c72b,Vodafone,"Pune, Maharashtra",Posted 8 days ago,Business Analyst,India,,,,Pune,,,6.0,,,Manager   Pega Senior Business Analyst,[]
2665,job_58d0dad670bedbac,Sanmina Corporation,"Chennai, Tamil Nadu",Posted 11 days ago,Business Analyst,India,,,,Chennai,,Senior Level,3.0,,undergraduate,Senior Business Analyst,"['C', 'Go']"
2666,job_e7568be41702855b,EY,"Bengaluru, Karnataka",Posted 13 days ago,Business Analyst,India,,,,Bengaluru,,,,,,BCM TSD CBS BA,"['client', 'api', 'C', 'Excel']"
2667,job_1a703cae3b1bdad7,UPL ltd,"Mumbai, Maharashtra",Posted 7 days ago,Business Analyst,India,,,,Mumbai,,,,,,Analyst   ALP,['R']
2668,job_929842b414b6f5c5,Standard Chartered,"Chennai, Tamil Nadu",Posted 12 days ago,Business Analyst,India,,,,Chennai,,,12.0,,undergraduate,"Reporting Analyst, People Insights & Analytics",['R']
2669,job_c8ccd40d7e3d8f89,NatWest Group,"Gurgaon, Haryana",Posted 11 days ago,Business Analyst,India,,,,Gurgaon,,,,,,"Data & Analytics Analyst, AVP","['AWS', 'SQL', 'C', 'Tableau', 'Python']"
2670,job_1596e8f6e2116617,ADCI - Karnataka,"Bengaluru, Karnataka",Posted 13 days ago,Business Analyst,India,,,,Bengaluru,,,3.0,,undergraduate,"Business Analyst, WW Price Perception",['R']
2671,job_f6ee1a6d11e9f5a4,Priceline.com,"Mumbai, Maharashtra",Posted 12 days ago,Business Analyst,India,,,,Mumbai,,,2.0,,postgraduate,Business Analyst,"['SQL', 'Statistics', 'D', 'C', 'Leadership', 'Tableau', 'Go', 'R', 'api', 'Flexible', 'Hadoop']"
2672,job_42046385ac9fd857,Honeywell,"Bengaluru, Karnataka",Posted 7 days ago,Business Analyst,India,,,,Bengaluru,,,4.0,,postgraduate,Data Analyst,"['SQL', 'D', 'C', 'Vi', 'Go', 'R', 'Tableau', 'Marketing', 'Python']"
2673,job_0dac7bebd3d6b54e,Optum,"Hyderabad, Telangana",Posted 8 days ago,Business Analyst,India,,,,Hyderabad,,Senior Level,,,postgraduate,Senior Product Analyst,['R']
2674,job_d40d4be34dfb7831,Bajaj FinServ,"Pune, Maharashtra",Posted 10 days ago,Business Analyst,India,,,,Pune,,Senior Level,6.0,,postgraduate,Senior Business Analyst,"['SQL', 'D', 'C', 'R', 'SDLC', 'BA']"
2675,job_77987bd3aa2833f9,Deutsche Bank,"Bengaluru, Karnataka+1 location",Posted 13 days ago,Business Analyst,India,,,,Bengaluru,,,2.0,,undergraduate,Reference Data Analyst,"['D', 'SQL', 'C', 'R']"
2676,job_8e519d9188fecdd5,Alight,"Navi Mumbai, Maharashtra",Posted 8 days ago,Business Analyst,India,,,,Navi Mumbai,,,2.0,,postgraduate,Workday Analyst,"['D', 'C', 'R', 'Excel']"
2677,job_bc4d8dfe3211a866,Bloom Energy,"Bengaluru, Karnataka",Posted 12 days ago,Business Analyst,India,,,,Bengaluru,,,3.0,,,Marketing Analyst,"['SQL', 'Statistics', 'D', 'C', 'R', 'Data driven']"
2678,job_1ca8061e546a5ed7,Netcracker Technology,"Hyderabad, Telangana+3 locations",Posted 7 days ago,Business Analyst,India,,,,Hyderabad,,Senior Level,,,undergraduate,Senior Business Analyst  BSS,['R']
2679,job_10804106ce974e5e,Silicon Labs,"Hyderabad, Telangana",Posted 7 days ago,Business Analyst,India,,,,Hyderabad,,Senior Level,,,undergraduate,Senior Data Analyst,"['Data Visualization', 'D', 'Vi']"
2680,job_8a6e810a7e40a434,Citco,"Hyderabad, Telangana",Posted 8 days ago,Business Analyst,India,,,,Hyderabad,,,3.0,,undergraduate,Data Management Analyst   Banking,"['Go', 'D', 'Excel']"
2681,job_e6866e63e16a7d20,Genpact,"Noida, Uttar Pradesh",Posted 13 days ago,Business Analyst,India,,,,Noida,,,,,undergraduate,Process Developer Data Analyst,"['D', 'C', 'R', 'Excel']"
2682,job_527124be15e9d29e,LSEG (London Stock Exchange Group),"Bengaluru, Karnataka",Posted 12 days ago,Business Analyst,India,,,,Bengaluru,,,3.0,,undergraduate,Data Analyst,['R']
